cafe_id,cafe_image
105,https://drive.google.com/uc?id=1zy8njuhJfEsM3vtGjMUfTMsTdFM_J4m5
106,https://drive.google.com/uc?id=1ns__OPMxTyEdzrBE81WTqtz0Sc0QFm39
107,https://drive.google.com/uc?id=183XLZzR17ZE_q2bNQd7WPHUAk-WJkf3M
108,https://drive.google.com/uc?id=1Ryne2OryzyGaoz0Nu0qW39abUcBZOomb
109,https://drive.google.com/uc?id=1G1UuZY_6kyHihIUi3qwrQlCY431naAGh
110,https://drive.google.com/uc?id=1h9WGdofw04jJGj7-EuwoxuM4Ff6Yylrd
112,https://drive.google.com/uc?id=1fGcpcNKNg2I9fvi4_0BdMBMy3DFI5S8F
114,https://drive.google.com/uc?id=1Y5EWwx6z6daBkdSufqHXoU_BUNHpq1UU
115,https://drive.google.com/uc?id=1BdACu52cppXavElUPl890iHVXLziHvbM
117,https://drive.google.com/uc?id=16C3wzPqs-PeAE1iuvwfzZLdy6lp86nSO
118,https://drive.google.com/uc?id=1cjKWk7jFhyShVoQa7lzPiDUTzvLfjcJW
119,https://drive.google.com/uc?id=1xMwdSbBj03cAZMSr85k6FpM-sVQYh-w4
120,https://drive.google.com/uc?id=158ewCz60et5XgYgN3elDBdGsJsPct1sl
121,https://drive.google.com/uc?id=1T3_bGu38M0UlUfGBbPXHSirpF2Inmm8p
122,https://drive.google.com/uc?id=1UXrMj5io4P29wHRJXXkUIwCi5MPIgiI_
124,https://drive.google.com/uc?id=1wbIUZfoyoAVTdEnd0pDDffzYMHbNhkGQ
125,https://drive.google.com/uc?id=1ODFGRGRjS7-1gbADNoTqI60ozfv4tsTD
126,https://drive.google.com/uc?id=1Dde4wr2CaqZkG4EXHtEpOPZwdF5vquEj
127,https://drive.google.com/uc?id=1y7sMQ52a5yUVt_NSuTUfvKiEZ8_shpZ_
128,https://drive.google.com/uc?id=1e0yln_bA1aYNrYXKhqgbIgk9iGfq-EAB
129,https://drive.google.com/uc?id=1w7oTRp9_l408_NHdiJv48_ePAFK39aIM
130,https://drive.google.com/uc?id=1KdCecslnQOTg6QZN0_KzlFOulXgshENy
131,https://drive.google.com/uc?id=1-cwpPzkhl0294_C9hcjF7_ZrcNA3SvC1
132,https://drive.google.com/uc?id=1BP3atP_0CKfe-v_ulX3FfSJ-eJSfpnM7
133,https://drive.google.com/uc?id=1E8D5y6bkf6c0xg9G6bR4ogyn2xwHxADY
134,https://drive.google.com/uc?id=1Zr2kG6Jckli1mhhkeBfvHaTJ1Y7VU_3k
138,https://drive.google.com/uc?id=1kGXoOVm2uYDJ1gcssO-4s3_An13XbBr-
139,https://drive.google.com/uc?id=1jgdROQDAwrCfMDYatmOfLkRHs954ILWw
142,https://drive.google.com/uc?id=1Ec4CAHZjgmeBKhuO-FlPVEqSevC0KzSq
143,https://drive.google.com/uc?id=1eppb6F2G9D3q8OlZrMjytAq78D51X8Nr
144,https://drive.google.com/uc?id=1kGQahJzJPVElSxnpLpeZ1S8QHqVsOzfH
145,https://drive.google.com/uc?id=1X40o-b_wzXS7kyE8DGP8XRDaVCXGEV09
146,https://drive.google.com/uc?id=1yrLg2XB-3NpsoQfGMSPOFlhBYnTcF4qo
148,https://drive.google.com/uc?id=1d1LEq9CMBDguo6uuuWTBF7_G5eG-5W8Q
149,https://drive.google.com/uc?id=1GCcQa9gaJIzO__u8gwL2KGTI4KDBfkE-
150,https://drive.google.com/uc?id=196E12Y-mtBv7WnMeDBhgtCUdFzepWZqp
151,https://drive.google.com/uc?id=1EWENc_9SobcK2qI04SoztAYcw-blXJlc
153,https://drive.google.com/uc?id=1ak9ft1fVE05JKFheCamLDiXsQdRJeQKQ
154,https://drive.google.com/uc?id=1d18dSrUD4fu5mUb6_cY5ZdbX5JrRhabj
